#{"t_start": 1585122449.347662, "env_id": null}
r,l,t
0.3,1,6.604888
0.105,1,6.615888
0.155,1,6.627888
-0.105,1,6.639888
-0.14,1,6.652014
0.2,1,6.662887
-0.14,1,6.675886
0.3,1,6.688887
-0.195,1,6.700886
-0.065,1,6.712887
-0.035,1,6.723886
0.21,1,6.733886
0.3,1,6.744887
-0.085,1,6.754886
0.315,1,6.765886
0.115,1,6.776889
-0.25,1,6.787889
0.52,1,6.802007
0.02,1,6.813889
0.38,1,6.823889
-0.385,1,6.835886
-0.09,1,6.848885
-0.135,1,6.860887
-0.065,1,6.873885
-0.23,1,6.886885
0.245,1,6.898885
-0.275,1,6.909889
0.22,1,6.921884
0.375,1,6.933889
-0.105,1,6.944889
0.025,1,6.957886
-0.155,1,6.971889
0.23,1,6.981884
-0.09,1,6.992883
0.08,1,7.004884
-0.055,1,7.015884
-0.395,1,7.028885
0.13,1,7.039895
0.19,1,7.052885
0.055,1,7.063078
0.445,1,7.074215
-0.07,1,7.085333
0.15,1,7.097037
-1.07,1,7.110038
0.245,1,7.121037
0.2,1,7.132039
-0.275,1,7.144038
-0.235,1,7.156061
0.195,1,7.168036
-0.035,1,7.180038
0.355,1,7.193037
-0.0,1,7.204033
0.07,1,7.215053
0.045,1,7.226039
-0.26,1,7.237038
0.0,1,7.249035
0.455,1,7.262034
-0.345,1,7.275034
-0.005,1,7.28531
0.065,1,7.297038
0.365,1,7.309037
-0.14,1,7.321038
0.12,1,7.332062
-0.095,1,7.343035
-0.035,1,7.353038
0.645,1,7.364043
0.25,1,7.375035
0.25,1,7.387036
0.18,1,7.398041
-0.285,1,7.410039
0.295,1,7.422035
0.13,1,7.432036
-0.205,1,7.444035
-0.43,1,7.456034
0.36,1,7.467038
0.175,1,7.476039
0.385,1,7.488038
-0.07,1,7.499038
-0.16,1,7.510041
0.16,1,7.520035
0.095,1,7.530036
-0.245,1,7.540035
-0.005,1,7.550045
0.015,1,7.560035
-0.195,1,7.569037
0.405,1,7.580035
0.055,1,7.590038
-0.225,1,7.599036
0.14,1,7.610034
-0.055,1,7.621037
-0.255,1,7.632037
0.23,1,7.641036
0.02,1,7.650038
-0.43,1,7.662041
0.145,1,7.672037
-0.245,1,7.683053
0.09,1,7.696034
0.46,1,7.708036
0.09,1,7.719037
-0.015,1,7.730036
-0.365,1,7.741036
0.115,1,7.75205
0.025,1,7.763033
0.61,1,7.774036
-0.09,1,7.785362
0.07,1,7.796034
0.13,1,7.808036
0.16,1,7.820036
0.305,1,7.831039
-0.16,1,7.842036
0.32,1,7.854037
0.05,1,7.866037
-0.295,1,7.878036
-0.16,1,7.889037
-0.59,1,7.903034
-0.05,1,7.913036
0.08,1,7.924038
0.435,1,7.934038
0.075,1,7.946035
0.125,1,7.957036
0.03,1,7.969034
0.17,1,7.981037
0.3,1,7.992036
-0.07,1,8.004035
-0.12,1,8.015053
-0.215,1,8.026036
-0.2,1,8.038038
0.235,1,8.049037
0.07,1,9.000227
0.295,1,9.011227
-0.035,1,9.024226
-0.29,1,9.035359
-0.225,1,9.046227
-0.005,1,9.058227
0.475,1,9.070229
0.17,1,9.081231
-0.455,1,9.094227
0.05,1,9.108236
0.12,1,9.120229
0.305,1,9.132226
-0.025,1,9.143226
0.105,1,9.155227
0.125,1,9.166247
0.005,1,9.177243
0.22,1,9.187228
0.76,1,9.199229
-0.135,1,9.210227
-0.115,1,9.222227
0.26,1,9.233227
0.175,1,9.244227
-0.055,1,9.256227
0.35,1,9.267227
0.06,1,9.277241
-0.095,1,9.289227
-0.205,1,9.30023
-0.42,1,9.314227
0.29,1,9.325227
-0.04,1,9.337227
-0.105,1,9.350228
-0.39,1,9.362228
0.205,1,9.376227
0.515,1,9.390226
0.175,1,9.402228
0.105,1,9.413227
0.215,1,9.424227
0.315,1,9.435362
-0.22,1,9.446227
-0.315,1,9.459246
-0.185,1,9.471227
-0.32,1,9.482227
0.245,1,9.49323
0.305,1,9.504237
0.42,1,9.515229
0.18,1,9.528227
-0.275,1,9.540227
-0.065,1,9.551227
-0.26,1,9.563225
0.075,1,9.574225
0.025,1,9.586225
-0.195,1,9.602227
-0.19,1,9.61323
-0.015,1,9.626246
0.11,1,9.636231
0.02,1,9.648232
-0.315,1,9.660228
